,agent,pattern,n,sla_compliance_mean,sla_compliance_std,sla_compliance_ci95,avg_cost_mean,avg_cost_std,avg_cost_ci95,churn_mean,churn_std,churn_ci95,avg_latency_mean,avg_latency_std,avg_latency_ci95,p99_latency_mean,p99_latency_std,p99_latency_ci95,max_latency_mean,max_latency_std,max_latency_ci95,severity_mean,severity_std,severity_ci95,cpu_util_mean,cpu_util_std,cpu_util_ci95,reward_mean,reward_std,reward_ci95,composite_mean,composite_std,composite_ci95,reaction_time_mean,reaction_time_std,over_provisioning_mean,over_provisioning_std,over_provisioning_ci95,under_provisioning_mean,under_provisioning_std,under_provisioning_ci95,settling_time_mean,settling_time_std,settling_time_ci95,action_entropy_mean,action_entropy_std,action_entropy_ci95,replica_fairness_mean,replica_fairness_std,replica_fairness_ci95,reaction_time_ci95
0,HPA,diurnal,15,95.27777777777777,1.4318744883070436,"[94.556, 95.944]",0.5339066537430842,0.14051034878601798,"[0.460, 0.602]",52.2,8.905856820895208,"[47.932, 56.467]",1543.9494334608742,926.0805846764329,"[1102.729, 2000.160]",38013.21741762934,15065.92456426326,"[30444.582, 45079.881]",41079.56263787381,14423.026109983692,"[33696.899, 47778.753]",29536.01617255511,10569.820930204403,"[24166.432, 34413.254]",0.47168144525705913,0.009580837520105157,"[0.467, 0.476]",-69.65533333333332,20.205226292318766,"[-79.386, -59.911]",0.9660514110765388,0.021596602790577547,"[0.954, 0.975]",,0.0,1.9756484626484625,0.019522459014910707,"[1.966, 1.985]",0.03166666666666667,0.009553525070351846,"[0.027, 0.036]",5.666666666666667,1.7182493859684491,"[4.867, 6.533]",1.6842833857231958,0.21187207711076902,"[1.582, 1.788]",0.8493368773770096,0.007718072491203605,"[0.846, 0.853]",
1,HPA,double_peak,15,94.77777777777777,2.4893954983268443,"[93.556, 95.944]",0.863983748107869,0.24724196476113758,"[0.735, 0.983]",143.13333333333333,15.179246483588168,"[135.665, 150.535]",1278.805420795172,1008.103180304595,"[812.538, 1783.425]",27811.33271932719,13299.649518616106,"[21154.600, 33955.814]",30108.052105272298,12981.460122656414,"[23605.480, 36280.300]",20529.652055046336,8799.338944694464,"[16126.609, 24611.503]",0.4871359707512117,0.05014386364364187,"[0.463, 0.512]",-93.41320612325418,36.530283690660085,"[-111.407, -75.931]",0.7917531107770122,0.17095700692827046,"[0.708, 0.878]",1.0,0.0,2.255571267546477,0.16114701270787307,"[2.174, 2.332]",0.03666666666666667,0.019619394356621585,"[0.028, 0.046]",6.266666666666667,2.9872745979922106,"[4.867, 7.733]",2.3549353174408525,0.26138043216070017,"[2.225, 2.480]",0.9114776926833242,0.015834944042491184,"[0.903, 0.919]",
2,HPA,flash_crowd,15,96.72222222222221,1.1558455069683116,"[96.222, 97.278]",0.7887639892991759,0.2054200543335015,"[0.681, 0.889]",54.06666666666667,4.4475782602392036,"[51.867, 56.267]",784.0150924043769,501.2884052585135,"[545.766, 1025.502]",24707.520192438536,13141.74489312007,"[17793.546, 30924.030]",29049.805736481383,14392.66095067558,"[21936.401, 35837.059]",20726.934820854447,9094.05609261259,"[16001.892, 25027.676]",0.5548753576736801,0.06034834838751168,"[0.526, 0.585]",-63.41389080026338,16.909809209577688,"[-71.350, -55.034]",0.8513167403503749,0.12872064197396654,"[0.788, 0.915]",1.8636363636363635,0.7103136311133657,1.831720151919596,0.12831950435435782,"[1.767, 1.894]",0.05166666666666667,0.07906948922931098,"[0.021, 0.097]",3.933333333333333,1.3870146083619754,"[3.267, 4.533]",1.5236832251900725,0.1562238249897501,"[1.443, 1.596]",0.8489760847521916,0.031091776564933414,"[0.834, 0.864]","[1.455, 2.273]"
3,HPA,gradual_ramp,15,98.83333333333333,0.7585491581940015,"[98.444, 99.167]",0.8034066530021338,0.2183853023047559,"[0.689, 0.909]",43.666666666666664,7.3159968236604325,"[40.133, 47.268]",133.37726144393653,156.57660203262122,"[65.114, 213.499]",4652.1834310137865,7519.7337276476965,"[1253.238, 8572.623]",8659.193335032965,8280.762165869082,"[4879.861, 12775.675]",7139.972106837046,6390.382007248337,"[4141.200, 10351.849]",0.5482576641094514,0.046737978439968665,"[0.526, 0.572]",-37.74073665593534,12.597819245984677,"[-43.800, -31.669]",0.850459101976009,0.1371757662332005,"[0.783, 0.918]",3.125,2.6575364531836625,1.7784327422198922,0.10346367604895183,"[1.726, 1.828]",0.020555555555555556,0.026514945371286885,"[0.009, 0.036]",1.6153846153846154,0.7679476477883045,"[1.231, 2.077]",1.5064303692320182,0.1884333766447964,"[1.416, 1.608]",0.8727578434063691,0.02555151131440254,"[0.860, 0.886]","[1.000, 5.250]"
4,HPA,noisy,15,92.94444444444443,2.179145990675535,"[91.778, 93.944]",0.795547563387622,0.19652631499047862,"[0.690, 0.890]",163.86666666666667,17.166689782693638,"[155.598, 171.867]",1903.3882122909986,2184.24538432062,"[962.773, 3076.393]",48863.51875856067,64290.463139718224,"[24021.126, 84652.772]",72532.70722620825,74184.2078143035,"[41410.460, 111794.609]",23176.632378876067,19431.94231560501,"[15270.527, 33773.126]",0.3180044553183065,0.023019803473283418,"[0.306, 0.329]",-112.22013151442465,27.635120912674417,"[-126.632, -99.630]",0.8310521801529561,0.12244558312879521,"[0.772, 0.893]",4.1444477127505674,1.2663372100556842,4.782121124859687,0.44599541517053476,"[4.567, 5.002]",0.0638888888888889,0.017442270615742782,"[0.056, 0.072]",5.666666666666667,2.9439202887759492,"[4.267, 7.200]",2.4179830092289025,0.11256320999860683,"[2.362, 2.474]",0.9200908984663365,0.016458499564651285,"[0.912, 0.928]","[3.509, 4.736]"
5,HPA,sawtooth,15,98.44444444444447,1.038288171964955,"[97.944, 98.944]",0.7441531426839861,0.22552697967742147,"[0.628, 0.852]",111.4,8.716159049227393,"[106.865, 115.467]",158.76633766849017,179.7937402261915,"[76.929, 253.819]",6036.944511535524,8248.142217966068,"[2373.231, 10263.531]",9259.117650369824,8864.998964352193,"[5143.846, 13810.417]",6674.240600336726,5574.772354592267,"[3986.039, 9421.347]",0.4572951899626669,0.01385116967100186,"[0.451, 0.464]",-41.18983361560317,17.11662391719342,"[-49.461, -32.833]",0.8728456436911773,0.11967041463650717,"[0.815, 0.931]",13.976190476190476,17.551624534769534,2.6551331944963263,0.11182309274601174,"[2.599, 2.707]",0.013333333333333332,0.008213423005076353,"[0.009, 0.017]",2.230769230769231,1.0919284281983377,"[1.615, 2.846]",2.355416835772191,0.14107953066604334,"[2.288, 2.422]",0.9043115104977772,0.010682737248506954,"[0.899, 0.910]","[3.333, 26.714]"
6,HPA,steady,15,96.77777777777777,1.1298030918947886,"[96.222, 97.333]",0.44178140995196674,0.15855705427030106,"[0.364, 0.521]",45.93333333333333,10.152175464730044,"[40.733, 51.067]",774.0133467999954,466.8030424485609,"[553.145, 1007.382]",24945.85662492929,12152.165817561452,"[18762.701, 30760.509]",28534.16878317595,12716.58895912558,"[22219.367, 34610.552]",21157.214130007662,8568.354690722781,"[16857.911, 25349.772]",0.44232868699520606,0.007655876523781469,"[0.438, 0.446]",-45.00062478564002,18.00340481487176,"[-53.699, -36.156]",0.9801479671546761,0.01672373678791919,"[0.971, 0.986]",9.326190476190476,6.637180672331233,2.109007275132275,0.02579240127213587,"[2.096, 2.122]",0.022222222222222223,0.006804138174397717,"[0.019, 0.026]",3.8666666666666667,1.3557637102737476,"[3.200, 4.533]",1.5649707747548545,0.24878343432923672,"[1.437, 1.690]",0.9799844078864285,0.004696253520737287,"[0.978, 0.982]","[6.205, 12.852]"
7,Fixed-5,diurnal,15,4.055555555555555,9.630405442903687,"[0.000, 9.722]",0.3580173269059832,0.08469356964493059,"[0.315, 0.401]",7.2,1.740279123753264,"[6.333, 8.067]",820103.2113528065,417680.7914735328,"[616732.200, 1027080.308]",1921374.4020448667,939595.242499074,"[1462862.338, 2381693.482]",1923027.6914718116,940356.1752346104,"[1464107.704, 2383735.195]",831353.1039395424,401628.5781806827,"[636211.019, 1028819.257]",0.8527502621538517,0.05429002670409731,"[0.826, 0.880]",-1208.307146190912,123.3345542878109,"[-1260.000, -1135.721]",0.5202777777777777,0.048152027214518424,"[0.500, 0.549]",,0.0,0.9499478561561895,0.16440500670114247,"[0.868, 1.033]",0.6194444444444444,0.08973432273800633,"[0.575, 0.664]",115.4,10.675740188456654,"[109.333, 120.000]",0.34875532241599605,0.0855989210570446,"[0.308, 0.389]",0.9933254133978371,0.003346598700809905,"[0.992, 0.995]",
8,Fixed-5,double_peak,15,0.22222222222222224,0.6656738639316503,"[0.000, 0.611]",0.3580173269059832,0.08469356964493059,"[0.315, 0.401]",7.2,1.740279123753264,"[6.333, 8.067]",1157638.618568801,198772.0286346145,"[1058308.941, 1255551.515]",4128686.436041977,752703.1478986677,"[3756716.001, 4497486.309]",4279648.180288761,715130.2837861518,"[3926689.371, 4632348.558]",1159307.6925246795,195550.64904769708,"[1062008.246, 1255868.243]",0.9849580397674724,0.018191379177288244,"[0.975, 0.993]",-1256.5544056978813,9.073754033822162,"[-1260.000, -1251.257]",0.5011111111111111,0.00332836931965824,"[0.500, 0.503]",,0.0,0.5366895046872641,0.09686086871456595,"[0.489, 0.585]",0.9294444444444445,0.07979802546256934,"[0.888, 0.966]",120.0,0.0,"[120.000, 120.000]",0.34875532241599605,0.0855989210570446,"[0.308, 0.389]",0.9933254133978371,0.003346598700809905,"[0.992, 0.995]",
9,Fixed-5,flash_crowd,15,14.88888888888889,14.44017030780865,"[7.499, 22.168]",0.3580173269059832,0.08469356964493059,"[0.315, 0.401]",7.2,1.740279123753264,"[6.333, 8.067]",1018422.8666490427,111797.60558850651,"[964032.031, 1074992.064]",5555910.179317436,607575.2557375967,"[5238865.767, 5845619.455]",5923793.593534013,710374.0439927332,"[5556848.700, 6270071.554]",1210012.0295810364,104332.23470081393,"[1158620.835, 1260921.415]",0.9639982792195256,0.03500272692454312,"[0.946, 0.980]",-1071.914924165015,182.47654872099227,"[-1165.525, -980.071]",0.5744444444444444,0.07220085153904324,"[0.537, 0.611]",,0.0,0.5641769263767272,0.09915082196264126,"[0.515, 0.614]",0.8477777777777775,0.14286838580097297,"[0.776, 0.914]",57.53333333333333,60.48714936327582,"[26.465, 88.733]",0.34875532241599605,0.0855989210570446,"[0.308, 0.389]",0.9933254133978371,0.003346598700809905,"[0.992, 0.995]",
